,ds,y
934,2018-07-23,8401
935,2018-07-24,7954
936,2018-07-25,14901
937,2018-07-26,14500
938,2018-07-27,12497
939,2018-07-28,10761
940,2018-07-29,7763
941,2018-07-30,6531
942,2018-07-31,11194
943,2018-08-01,8223
944,2018-08-02,3999
945,2018-08-03,11173
946,2018-08-04,13721
947,2018-08-05,13350
948,2018-08-06,14941
949,2018-08-07,14227
950,2018-08-08,13357
951,2018-08-09,14738
952,2018-08-10,14070
953,2018-08-11,12798
954,2018-08-12,11271
955,2018-08-13,11314
956,2018-08-14,12185
957,2018-08-15,14095
958,2018-08-16,13781
959,2018-08-17,9050
960,2018-08-18,10822
961,2018-08-19,11933
962,2018-08-20,9135
963,2018-08-21,10777
964,2018-08-22,14911
965,2018-08-23,14734
966,2018-08-24,13053
967,2018-08-25,13926
968,2018-08-26,13424
969,2018-08-27,13433
970,2018-08-28,12446
971,2018-08-29,13238
972,2018-08-30,13060
973,2018-08-31,10039
974,2018-09-01,9173
975,2018-09-02,11030
976,2018-09-03,9474
977,2018-09-04,12306
978,2018-09-05,12448
979,2018-09-06,10735
980,2018-09-07,10562
981,2018-09-08,6782
982,2018-09-09,7440
983,2018-09-10,9770
984,2018-09-11,9827
985,2018-09-12,4371
986,2018-09-13,1581
987,2018-09-14,1417
988,2018-09-15,2115
989,2018-09-16,7697
990,2018-09-17,8205
991,2018-09-18,11979
992,2018-09-19,10206
993,2018-09-20,7901
994,2018-09-21,11356
995,2018-09-22,6241
996,2018-09-23,3747
997,2018-09-24,6879
998,2018-09-25,10742
999,2018-09-26,4299
1000,2018-09-27,4704
1001,2018-09-28,10010
1002,2018-09-29,9917
1003,2018-09-30,11037
1004,2018-10-01,9452
1005,2018-10-02,9787
1006,2018-10-03,10724
1007,2018-10-04,10111
1008,2018-10-05,2977
1009,2018-10-06,9633
1010,2018-10-07,6671
1011,2018-10-08,5257
1012,2018-10-09,3022
1013,2018-10-10,969
1014,2018-10-11,10765
1015,2018-10-12,10434
1016,2018-10-13,3352
1017,2018-10-14,7659
1018,2018-10-15,5103
1019,2018-10-16,5348
1020,2018-10-17,10105
1021,2018-10-18,9988
1022,2018-10-19,2319
1023,2018-10-20,10127
1024,2018-10-21,9549
1025,2018-10-22,7133
1026,2018-10-23,9630
1027,2018-10-24,6336
1028,2018-10-25,720
1029,2018-10-26,2860
1030,2018-10-27,8599
1031,2018-10-28,9139
1032,2018-10-29,8789
1033,2018-10-30,8380
1034,2018-10-31,4612
1035,2018-11-01,2121
1036,2018-11-02,8766
1037,2018-11-03,7871
1038,2018-11-04,2326
1039,2018-11-05,2052
1040,2018-11-06,8111
1041,2018-11-07,5578
1042,2018-11-08,1080
1043,2018-11-09,8370
1044,2018-11-10,8176
1045,2018-11-11,608
1046,2018-11-12,1460
1047,2018-11-13,1466
1048,2018-11-14,1198
1049,2018-11-15,7772
1050,2018-11-16,7671
1051,2018-11-17,5884
1052,2018-11-18,5828
1053,2018-11-19,6184
1054,2018-11-20,7420
1055,2018-11-21,7009
1056,2018-11-22,6725
1057,2018-11-23,1976
1058,2018-11-24,5491
1059,2018-11-25,2674
1060,2018-11-26,5862
1061,2018-11-27,7242
1062,2018-11-28,6904
1063,2018-11-29,3887
1064,2018-11-30,2497
1065,2018-12-01,2415
1066,2018-12-02,4646
1067,2018-12-03,5930
1068,2018-12-04,4363
1069,2018-12-05,5948
1070,2018-12-06,4350
1071,2018-12-07,2564
1072,2018-12-08,1141
1073,2018-12-09,4928
1074,2018-12-10,6785
1075,2018-12-11,4091
1076,2018-12-12,4313
1077,2018-12-13,2128
1078,2018-12-14,2469
1079,2018-12-15,5759
1080,2018-12-16,6501
1081,2018-12-17,6309
1082,2018-12-18,4260
1083,2018-12-19,589
1084,2018-12-20,3154
1085,2018-12-21,6377
1086,2018-12-22,6267
1087,2018-12-23,6586
1088,2018-12-24,4854
1089,2018-12-25,6369
1090,2018-12-26,2848
1091,2018-12-27,989
1092,2018-12-28,4910
